0,3,6,12,25,50
0,0,0,0,0,0
0.043333333,0.033333333,0.03,0.030666667,0.025666667,0.017
0.177,0.179,0.181333333,0.173,0.133333333,0.090666667
0.375666667,0.347666667,0.369666667,0.339666667,0.33,0.274666667
0.446666667,0.436333333,0.448,0.422666667,0.411,0.375333333
0.613,0.558,0.603666667,0.526,0.497666667,0.438333333
0.761666667,0.745333333,0.736,0.661333333,0.627,0.506333333
0.810333333,0.824,0.868666667,0.714666667,0.713333333,0.551
0.842666667,0.903,0.902333333,0.863,0.808,0.652
0.867333333,0.972,0.949,0.869,0.831666667,0.675666667
0.889333333,0.982666667,0.989333333,0.898666667,0.877333333,0.694666667
0.903333333,1.040333333,1.023333333,0.918,0.882666667,0.707666667
0.919666667,1.067333333,1.051666667,0.942333333,0.906333333,0.715
0.932333333,1.079666667,1.066333333,0.945333333,0.923,0.729666667
0.937,1.125666667,1.072666667,0.962333333,0.917666667,0.743
0.932,1.072,1.071333333,0.95,0.949333333,0.745
0.926333333,1.014666667,1.062,0.937333333,0.922,0.772333333
0.919333333,1.099666667,1.052666667,0.914333333,0.944,0.763
0.918333333,1.139666667,1.046333333,0.906,0.905333333,0.750333333
0.912333333,1.109,1.037666667,0.920666667,0.937666667,0.729666667
